latitude,longitude,monsoon_rainfall_mm,soil_moisture_pct,slope_angle_deg,vegetation_cover_pct,soil_type,historical_incidents_10yr,risk_percentage
24.8091,94.6325,441.9,44.6,64.0,25.6,Clayey,6,49.7
29.1304,93.0929,182.4,23.8,66.3,49.3,Loamy,5,46.2
27.49,90.9405,533.1,41.1,67.4,86.0,Loamy,6,38.3
26.4899,95.7311,676.5,45.7,38.9,40.7,Loamy,7,48.8
23.1701,94.5049,388.7,21.6,68.5,43.9,Sandy,14,46.0
23.17,89.5449,500.8,49.1,54.2,67.2,Sandy,6,48.7
22.4356,96.6538,448.7,50.6,15.5,58.3,Rocky,4,27.0
28.4963,95.8141,215.8,17.7,36.0,33.9,Sandy,7,25.7
26.5084,97.0231,668.3,60.6,51.7,42.9,Sandy,8,46.5
27.3105,94.8943,395.1,37.3,21.1,27.4,Sandy,5,34.8
22.1544,93.8274,564.6,55.7,46.6,87.3,Rocky,4,23.5
29.2743,91.9733,635.0,49.4,48.3,20.5,Loamy,4,53.6
28.2433,96.8609,304.1,35.0,15.6,39.7,Clayey,4,21.2
23.5925,96.2276,318.6,37.6,41.7,12.1,Rocky,7,44.2
23.3637,88.4296,341.7,29.3,55.2,27.7,Loamy,8,43.6
23.3755,88.2505,729.9,63.0,37.4,72.4,Clayey,2,48.9
24.2818,91.5764,242.7,22.2,5.8,26.1,Sandy,2,16.5
25.9357,95.7003,791.3,53.1,5.6,16.4,Sandy,2,26.5
25.2396,97.3791,446.2,44.6,28.2,48.0,Clayey,5,31.8
24.1842,89.429,462.2,37.1,65.2,10.8,Clayey,15,65.0
26.5889,93.6442,621.2,54.7,19.9,16.8,Loamy,7,44.5
23.0462,91.6185,420.9,50.3,46.2,74.6,Loamy,9,46.7
24.1911,97.2142,672.0,58.9,19.4,71.7,Loamy,4,37.6
24.7477,96.0001,303.9,18.4,25.9,83.2,Sandy,5,11.2
25.4205,95.9641,779.0,56.7,60.1,78.4,Sandy,15,51.2
27.8888,92.4526,316.6,42.7,52.4,64.7,Sandy,1,32.4
23.4976,91.9408,793.4,45.8,11.2,14.2,Loamy,6,28.4
25.8568,90.5974,321.1,40.5,32.9,72.6,Clayey,7,42.5
26.4431,88.5356,346.8,41.2,6.9,77.6,Loamy,5,21.8
22.3484,96.2149,226.6,20.7,36.3,73.9,Sandy,5,28.1
26.5566,95.7226,262.3,38.7,48.1,50.7,Loamy,2,23.2
23.2789,97.4973,396.1,40.3,12.7,28.6,Rocky,2,30.6
22.4879,97.468,454.7,46.0,23.8,77.6,Sandy,2,38.0
29.1166,93.2766,648.2,42.0,30.9,68.2,Sandy,8,28.4
29.2422,95.3054,359.9,37.7,64.8,88.5,Loamy,5,41.6
28.063,96.9753,210.1,16.0,69.6,22.5,Clayey,6,43.9
24.2846,96.0717,489.4,24.2,7.9,28.1,Loamy,4,16.6
22.7325,90.3498,439.4,41.3,54.5,26.9,Clayey,6,51.9
27.1317,92.2802,516.2,52.5,29.2,73.4,Rocky,4,34.0
25.3011,89.227,283.4,35.0,30.5,25.0,Clayey,7,33.1
22.9153,97.0635,301.5,33.3,54.0,15.3,Clayey,10,55.4
25.7138,93.7587,283.4,31.5,64.7,89.9,Loamy,7,24.9
22.2579,90.1721,709.2,45.0,66.8,12.0,Sandy,9,50.9
28.8199,94.3812,782.6,54.1,42.5,76.8,Rocky,6,41.8
23.9408,93.8722,294.7,36.9,28.2,39.2,Loamy,6,30.9
26.9689,91.4025,297.8,30.2,56.2,77.3,Sandy,6,27.2
24.3378,89.0788,551.9,51.3,21.3,54.4,Clayey,4,41.8
25.9005,94.3799,825.0,59.4,41.7,82.1,Loamy,8,50.9
26.1003,92.9429,912.2,64.3,28.3,84.1,Loamy,4,48.3
23.3864,95.337,287.5,40.3,47.7,10.7,Loamy,7,42.3
29.2719,92.9416,327.1,30.8,20.6,16.0,Loamy,5,34.0
27.8135,96.0957,466.6,46.7,17.5,30.0,Clayey,4,33.6
29.0462,93.2431,478.0,38.8,64.7,63.5,Loamy,4,55.3
28.7112,93.3289,367.2,39.5,11.6,81.1,Loamy,3,14.1
26.4842,96.3282,257.5,26.6,37.9,46.8,Loamy,2,39.7
28.9141,91.8331,396.4,30.9,19.4,58.6,Clayey,3,27.0
22.6637,89.2731,911.7,62.5,7.5,25.1,Clayey,5,39.9
23.4699,88.2734,303.8,18.8,7.3,74.4,Loamy,3,20.7
22.3392,95.1738,452.3,38.4,16.4,87.4,Clayey,2,24.5
24.44,93.8929,1200.0,62.1,61.3,31.5,Sandy,11,76.8
24.9151,94.6888,301.5,40.1,23.4,49.6,Rocky,2,28.8
24.0351,90.0232,564.7,54.3,66.8,16.9,Loamy,14,65.1
28.2155,89.2955,930.8,55.8,42.8,54.7,Clayey,9,54.0
24.6756,88.1382,541.0,48.2,33.4,50.2,Sandy,5,42.5
24.107,91.3306,684.8,58.6,42.7,21.6,Sandy,5,49.8
26.0702,93.6042,602.0,54.8,38.6,45.4,Loamy,10,51.4
23.0569,91.7263,519.9,45.5,54.3,36.7,Rocky,3,28.0
28.0165,92.156,770.1,61.2,23.4,51.7,Loamy,8,47.8
22.5591,96.5895,556.0,40.3,27.9,56.9,Rocky,6,26.8
29.4017,91.3084,369.1,37.6,63.1,10.7,Loamy,6,58.8
27.7918,92.8829,435.0,36.2,66.5,70.9,Loamy,11,49.5
23.4904,95.4447,486.1,36.4,63.0,67.0,Sandy,8,43.9
22.0414,91.7672,326.0,35.2,32.3,39.3,Clayey,3,36.3
28.116,93.9098,444.9,43.2,55.7,14.2,Sandy,8,42.5
27.3014,96.1925,413.2,48.2,36.0,70.4,Rocky,4,38.2
27.4676,97.0204,555.1,47.6,37.3,86.4,Rocky,6,43.0
27.7845,89.3972,1052.1,73.4,18.3,29.2,Rocky,8,54.1
22.5553,96.8026,458.2,46.2,43.4,35.9,Loamy,8,53.3
24.6885,92.6751,835.2,79.8,17.1,24.7,Clayey,6,50.8
22.869,90.4533,545.4,30.5,26.6,56.2,Clayey,7,31.0
28.4733,92.3618,443.9,34.8,60.6,22.4,Sandy,6,45.9
26.6747,97.3103,316.4,46.3,18.5,38.5,Clayey,5,35.0
24.4817,92.6799,445.6,37.6,9.6,65.8,Sandy,1,16.4
22.4767,91.1231,432.0,46.9,9.5,54.8,Loamy,4,29.3
24.3324,94.0173,273.1,34.4,66.2,40.9,Sandy,4,41.1
24.4389,90.2814,296.7,50.4,37.9,43.6,Sandy,4,27.3
27.472,88.7207,488.1,33.5,31.6,55.0,Loamy,11,40.0
26.7817,89.2244,831.1,67.9,57.7,10.5,Loamy,14,75.3
28.6541,89.2164,389.6,51.9,59.3,16.3,Clayey,4,53.0
25.5416,89.4431,168.8,19.6,26.6,80.5,Sandy,0,18.2
22.897,89.3189,100.0,30.8,50.1,16.2,Loamy,10,31.4
27.3493,94.0883,224.2,22.6,55.1,66.5,Sandy,5,31.4
27.7059,89.7279,571.7,46.4,47.6,83.6,Loamy,7,33.0
26.2096,91.2838,189.3,26.6,14.9,31.7,Clayey,1,15.4
27.7823,96.5195,616.4,29.0,61.9,39.6,Loamy,5,43.6
25.7035,92.5026,556.4,48.9,40.0,55.5,Clayey,4,37.1
25.9205,94.3418,382.8,38.7,23.4,80.5,Loamy,6,22.1
25.2066,89.637,274.4,44.4,32.6,85.4,Clayey,1,24.8
22.1906,89.8267,354.6,41.1,7.4,69.2,Loamy,2,23.7
22.8092,88.3883,482.1,60.4,13.3,16.9,Loamy,1,33.1
22.2357,89.6049,193.0,29.7,54.8,63.5,Clayey,4,24.4
26.7731,90.6466,790.3,55.4,5.0,42.8,Sandy,6,43.0
24.3577,89.6816,479.9,40.5,32.1,47.7,Clayey,5,33.2
25.8143,88.8427,507.4,39.7,39.0,13.9,Clayey,5,45.8
28.8067,89.146,554.4,27.7,8.6,25.3,Loamy,2,30.1
23.8697,92.3774,753.1,52.8,68.3,73.2,Sandy,8,54.4
25.0779,89.9602,446.2,23.9,19.7,46.3,Sandy,3,30.1
27.6666,91.4606,571.9,49.8,24.8,34.1,Rocky,4,37.0
23.716,92.7825,277.0,22.8,24.8,40.7,Clayey,1,20.2
22.5773,94.5588,914.0,54.7,20.0,78.4,Sandy,7,52.4
24.1731,88.3735,430.9,34.4,5.1,69.9,Loamy,2,19.3
23.2092,95.5944,276.2,31.0,52.4,31.8,Loamy,8,39.0
28.9727,93.9651,316.5,34.6,67.8,19.4,Clayey,10,58.9
28.0609,88.7767,121.9,34.3,19.6,30.2,Sandy,3,22.2
26.7505,96.299,315.4,29.8,48.1,83.7,Sandy,8,31.8
28.536,96.7483,100.0,28.4,53.2,56.5,Rocky,5,40.4
